candidate_id,repository,check,score,passed,detail
lbv2_0001,1password/scam,clone,1.000,True,70 paths indexed
lbv2_0001,1password/scam,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0001,1password/scam,ecosystem_supported,1.000,True,python
lbv2_0001,1password/scam,lockfile_consistency,1.000,True,python project markers
lbv2_0001,1password/scam,package_manager_consistency,1.000,True,consistent
lbv2_0001,1password/scam,historical_execution_failures,1.000,True,no phase0 history
lbv2_0001,1password/scam,deps_install,1.000,True,python -m pip install -q -r requirements.txt || true
lbv2_0001,1password/scam,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0001,1password/scam,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0001,1password/scam,timeout,1.000,True,ok
lbv2_0001,1password/scam,missing_binaries,1.000,True,ok
lbv2_0002,567-labs/instructor,clone,1.000,True,654 paths indexed
lbv2_0002,567-labs/instructor,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0002,567-labs/instructor,ecosystem_supported,1.000,True,python
lbv2_0002,567-labs/instructor,lockfile_consistency,1.000,True,python project markers
lbv2_0002,567-labs/instructor,package_manager_consistency,1.000,True,consistent
lbv2_0002,567-labs/instructor,historical_execution_failures,1.000,True,no phase0 history
lbv2_0002,567-labs/instructor,deps_install,1.000,True,python -m pip install -q -r requirements.txt || true
lbv2_0002,567-labs/instructor,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0002,567-labs/instructor,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0002,567-labs/instructor,timeout,1.000,True,ok
lbv2_0002,567-labs/instructor,missing_binaries,1.000,True,ok
lbv2_0003,567-labs/instructor,clone,1.000,True,654 paths indexed
lbv2_0003,567-labs/instructor,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0003,567-labs/instructor,ecosystem_supported,1.000,True,python
lbv2_0003,567-labs/instructor,lockfile_consistency,1.000,True,python project markers
lbv2_0003,567-labs/instructor,package_manager_consistency,1.000,True,consistent
lbv2_0003,567-labs/instructor,historical_execution_failures,1.000,True,no phase0 history
lbv2_0003,567-labs/instructor,deps_install,1.000,True,python -m pip install -q -r requirements.txt || true
lbv2_0003,567-labs/instructor,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0003,567-labs/instructor,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0003,567-labs/instructor,timeout,1.000,True,ok
lbv2_0003,567-labs/instructor,missing_binaries,1.000,True,ok
lbv2_0004,567-labs/instructor,clone,1.000,True,654 paths indexed
lbv2_0004,567-labs/instructor,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0004,567-labs/instructor,ecosystem_supported,1.000,True,python
lbv2_0004,567-labs/instructor,lockfile_consistency,1.000,True,python project markers
lbv2_0004,567-labs/instructor,package_manager_consistency,1.000,True,consistent
lbv2_0004,567-labs/instructor,historical_execution_failures,1.000,True,no phase0 history
lbv2_0004,567-labs/instructor,deps_install,1.000,True,python -m pip install -q -r requirements.txt || true
lbv2_0004,567-labs/instructor,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0004,567-labs/instructor,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0004,567-labs/instructor,timeout,1.000,True,ok
lbv2_0004,567-labs/instructor,missing_binaries,1.000,True,ok
lbv2_0005,affitor/affiliate-skills,clone,1.000,True,184 paths indexed
lbv2_0005,affitor/affiliate-skills,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0005,affitor/affiliate-skills,ecosystem_supported,1.000,True,python
lbv2_0005,affitor/affiliate-skills,lockfile_consistency,0.600,False,python project markers
lbv2_0005,affitor/affiliate-skills,package_manager_consistency,1.000,True,consistent
lbv2_0005,affitor/affiliate-skills,historical_execution_failures,1.000,True,no phase0 history
lbv2_0005,affitor/affiliate-skills,deps_install,1.000,True,skipped
lbv2_0005,affitor/affiliate-skills,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0005,affitor/affiliate-skills,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0005,affitor/affiliate-skills,timeout,1.000,True,ok
lbv2_0005,affitor/affiliate-skills,missing_binaries,1.000,True,ok
lbv2_0006,affitor/affiliate-skills,clone,1.000,True,184 paths indexed
lbv2_0006,affitor/affiliate-skills,test_command_exists,0.200,False,bare runner `pytest` is not a valid shell command
lbv2_0006,affitor/affiliate-skills,ecosystem_supported,1.000,True,python
lbv2_0006,affitor/affiliate-skills,lockfile_consistency,0.600,False,python project markers
lbv2_0006,affitor/affiliate-skills,package_manager_consistency,1.000,True,consistent
lbv2_0006,affitor/affiliate-skills,historical_execution_failures,1.000,True,no phase0 history
lbv2_0006,affitor/affiliate-skills,deps_install,1.000,True,skipped
lbv2_0006,affitor/affiliate-skills,test_starts,1.000,True,heuristic: pytest may resolve wrong root without cwd guard
lbv2_0006,affitor/affiliate-skills,baseline_tests_execute,0.000,False,heuristic: pytest may resolve wrong root without cwd guard
