repo_id,repo_url,instruction_path,reference_type,reference,first_commit,first_change_type,n_observations,repeated_repo_count,repeated_file_count,snippet_available,snippet,prior_final_category,prior_adjudication_status,prior_judge_a_category,prior_judge_b_category,heuristic_category,heuristic_confidence,heuristic_rules,heuristic_rationale,adjudication_status,final_category,category_letter,is_confirmed_false,judge_a_model,judge_a_category,judge_a_rationale,judge_b_model,judge_b_category,judge_b_rationale,judge_agreement,example_category
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,path,test/index.spec.js,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,1,2,True,"LUGINS` env var:** ```bash PLUGINS=""amqplib"" yarn test:plugins PLUGINS=""amqplib|bluebird"" yarn test:plugins # pipe-delimited for multiple ./node_modules/.bin/mocha -r ""packages/dd-trace/test/setup/mocha.js"" packages/datadog-plugin-amqplib/test/index.spec.js ``` **With external services** (check `.gi",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,high,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_high,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,path,src/config.js,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,2,2,True,This is a monorepo using yarn workspaces with the following main packages: - **`packages/dd-trace`**: Core tracer implementation. Entry point for the library. - `src/tracer.js`: Main DatadogTracer class extending OpenTracing Tracer - `src/config.js`: Configuration management with 64k+ lines of optio,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,path,src/plugins/index.js,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,: - **`packages/dd-trace`**: Core tracer implementation. Entry point for the library. - `src/tracer.js`: Main DatadogTracer class extending OpenTracing Tracer - `src/config.js`: Configuration management with 64k+ lines of options - `src/plugins/index.js`: Central registry of all instrumentation plug,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/exporters/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,"e library. - `src/tracer.js`: Main DatadogTracer class extending OpenTracing Tracer - `src/config.js`: Configuration management with 64k+ lines of options - `src/plugins/index.js`: Central registry of all instrumentation plugins - `src/exporters/`: Exporters for sending data to the Agent (agent, log",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/appsec/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,"- `src/config.js`: Configuration management with 64k+ lines of options - `src/plugins/index.js`: Central registry of all instrumentation plugins - `src/exporters/`: Exporters for sending data to the Agent (agent, log, span-stats) - `src/appsec/`: Application Security monitoring features - `src/ci-vi",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/ci-visibility/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,"of options - `src/plugins/index.js`: Central registry of all instrumentation plugins - `src/exporters/`: Exporters for sending data to the Agent (agent, log, span-stats) - `src/appsec/`: Application Security monitoring features - `src/ci-visibility/`: CI/CD test visibility features - `src/llmobs/`: ",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/llmobs/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,"of all instrumentation plugins - `src/exporters/`: Exporters for sending data to the Agent (agent, log, span-stats) - `src/appsec/`: Application Security monitoring features - `src/ci-visibility/`: CI/CD test visibility features - `src/llmobs/`: LLM observability features - `src/profiling/`: CPU and",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/profiling/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,"ers/`: Exporters for sending data to the Agent (agent, log, span-stats) - `src/appsec/`: Application Security monitoring features - `src/ci-visibility/`: CI/CD test visibility features - `src/llmobs/`: LLM observability features - `src/profiling/`: CPU and heap profiling support - `src/lambda/`: AWS",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/lambda/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,", log, span-stats) - `src/appsec/`: Application Security monitoring features - `src/ci-visibility/`: CI/CD test visibility features - `src/llmobs/`: LLM observability features - `src/profiling/`: CPU and heap profiling support - `src/lambda/`: AWS Lambda-specific functionality - `src/opentracing/`: ",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,directory,src/opentracing/,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,urity monitoring features - `src/ci-visibility/`: CI/CD test visibility features - `src/llmobs/`: LLM observability features - `src/profiling/`: CPU and heap profiling support - `src/lambda/`: AWS Lambda-specific functionality - `src/opentracing/`: OpenTracing API implementation - `src/opentelemetry,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,,confirmed_false
