repo_id,repo_url,instruction_path,reference_type,reference,first_commit,first_change_type,n_observations,repeated_repo_count,repeated_file_count,snippet_available,snippet,heuristic_category,heuristic_confidence,heuristic_rules,heuristic_rationale,adjudication_status,final_category,taxonomy_letter,judge_a_model,judge_a_category,judge_a_rationale,judge_b_model,judge_b_category,judge_b_rationale,judge_agreement,example_category
03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/new-features-planning.mdc,path,mdc:cursor.com,2c97af5b910f2cd0986080669d8e99332f78b83b,modify,4,1,1,True,"es, make sure that you check out from main a new branch and make incremental commits - If the feature is very large, create a temporary `todo.md` - And start a pull request using `gh` - Make sure to include `This PR was written by [Cursor](mdc:cursor.com)` - Add default reviewers: - Use `gh pr edit ",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/new-features-planning.mdc,path,cursor.com,5a4d433dc6a5cbab8e4754641a713daa3a242194,modify,3,1,1,True,"add new feature"" --body ""$(cat <<EOF ## Description Detailed explanation of the changes ## Changes - List important changes - Another change ## Testing How this was tested This PR was written by [Cursor](cursor.com) EOF )"" -r jxnl,ivanleomk ``` - Or use the `-F` flag with a file: `gh pr create -F pr",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/readme.md,path,//cursor.sh,8edae175e6f426c20020baa2a9274c9cd099dafd,add,1,2,14,True,"ration files that help guide AI-assisted development in the Cursor IDE. They provide structured instructions for how the AI should behave in specific contexts or when working with certain types of files. ## What is Cursor? [Cursor](https://cursor.sh) is an AI-powered IDE that helps developers write,",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,.cursor/rules/readme.md,script_name,//cursor.sh,8edae175e6f426c20020baa2a9274c9cd099dafd,add,1,2,14,True,"ration files that help guide AI-assisted development in the Cursor IDE. They provide structured instructions for how the AI should behave in specific contexts or when working with certain types of files. ## What is Cursor? [Cursor](https://cursor.sh) is an AI-powered IDE that helps developers write,",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,path,client_*.py,f4dd2771edc619c1df4a8f6093b4e7dcfcfad62b,modify,12,1,1,True,Include complete imports and environment setup - Progressive complexity: simple → advanced ## Project Structure - `instructor/` - Core library code - Base classes (`client.py`): `Instructor` and `AsyncInstructor` - Provider clients (`client_*.py`): Factory functions for each provider - DSL component,extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,path,OVERVIEW.md,9466f0a5bc953d37ea1b00931b40cad5b11fe3bd,modify,5,2,2,True,"onceptual explanation in `docs/concepts/` - **Writing Style**: Grade 10 reading level, all examples must be working code ## Refactoring Plan The `refactor_plan/` directory contains the comprehensive Instructor 2.0 refactoring plan: - **[OVERVIEW.md](refactor_plan/OVERVIEW.md)**: Complete refactoring",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,path,MEASUREMENTS.md,9466f0a5bc953d37ea1b00931b40cad5b11fe3bd,modify,5,1,1,True,es must be working code ## Refactoring Plan The `refactor_plan/` directory contains the comprehensive Instructor 2.0 refactoring plan: - **[OVERVIEW.md](refactor_plan/OVERVIEW.md)**: Complete refactoring roadmap organized by themes - **[MEASUREMENTS.md](refactor_plan/MEASUREMENTS.md)**: Baseline met,extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,path,url,6b969d2b3acfec363d2859511e19176a4f01c8c0,modify,1,5,7,True,"te - Link to relevant issues - **Update CHANGELOG.md**: Every PR that changes behavior (fix, feat, security, deprecation) must add an entry under the current `[Unreleased]` section in `CHANGELOG.md`. Format: `- **Area**: Description ([#PR](url))` ## Type System and Best Practices ### Type Checking w",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/SKILL.md,directory,/,5e3de4ed38f08decf4592d397f5a0c72d483d519,add,10,50,323,True,"│ Creates spans, sets │ │ methods, emits events │ │ tags, handles errors │ └──────────────────────────┘ └─────────────────────────┘ ``` **Instrumentation** (`packages/datadog-instrumentations/src/`): Hooks into a library's internals and publishes events with context data to named diagnostic channels",extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,.agents/skills/apm-integrations/SKILL.md,path,Node.js,5e3de4ed38f08decf4592d397f5a0c72d483d519,add,10,28,90,True,strumentation and plugin layers for a third-party library in dd-trace-js. --- # APM Integrations dd-trace-js provides automatic tracing for 100+ third-party libraries. Each integration consists of two decoupled layers communicating via Node.js diagnostic channels. ## Architecture ``` ┌──────────────,extraction_artifact,high,invalid_or_prose_extraction,Token fails path grammar or matches prose false-positive profile.,deterministic_high,extraction_artifact,A,,,,,,,,extraction_artifact
