repo_id,repo_url,instruction_path,reference_type,reference,first_commit,first_change_type,n_observations,repeated_repo_count,repeated_file_count,snippet_available,snippet,prior_final_category,prior_adjudication_status,prior_judge_a_category,prior_judge_b_category,heuristic_category,heuristic_confidence,heuristic_rules,heuristic_rationale,adjudication_status,final_category,category_letter,is_confirmed_false,judge_a_model,judge_a_category,judge_a_rationale,judge_b_model,judge_b_category,judge_b_rationale,judge_agreement
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,directory,poetry run pytest tests/,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,add,1,1,1,True,"# Instructor Development Guide ## Commands - Install deps: `poetry install --with dev,anthropic` - Run tests: `poetry run pytest tests/` - Run specific test: `poetry run pytest tests/path_to_test.py::test_name` - Skip LLM tests: `poetry run pytest tests/ -k 'not llm and not openai'` - Type check: `p",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,artifact,high,command_or_script_invocation,Reference embeds shell command syntax rather than a repository path.,deterministic_high,artifact,B,False,,,,,,,
03ff95638105b96a,https://github.com/567-labs/instructor,CLAUDE.md,directory,pytest tests/,5d9de64fc8ec1ee087252fbb08621db23d9ae893,modify,1,1,1,True,"guidance to Claude Code (claude.ai/code) when working with code in this repository. # Instructor Development Guide ## Commands - Install deps: `uv pip install -e "".[dev,anthropic]""` or `poetry install --with dev,anthropic` - Run tests: `pytest tests/` - Run specific test: `pytest tests/path_to_test.",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,artifact,high,command_or_script_invocation,Reference embeds shell command syntax rather than a repository path.,deterministic_high,artifact,B,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,directory,packages/datadog-plugin-*/,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,1,1,True,"`packages/dd-trace/` - Main library (APM, profiling, debugger, appsec, llmobs, CI visibility) - `packages/datadog-core/` - Async context storage, shared utilities - `packages/datadog-instrumentations/` - Instrumentation implementations - `packages/datadog-plugin-*/` - 100+ plugins for third-party in",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,template,high,glob_wildcard_reference,"Placeholder, glob, or example-path token — not a concrete repo claim.",deterministic_high,template,E,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,path,node:assert/strict,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,2,5,True,in sandboxes) don't count towards nyc coverage metrics - Don't add redundant unit tests solely to improve coverage numbers - Focus on covering important production code paths with whichever test type makes sense ### Test Assertions Use `node:assert/strict` for standard assertions. For partial deep o,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,artifact,high,node_module_not_repo_path,Node built-in module token is not an in-tree path claim.,deterministic_high,artifact,B,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,path,src/index.js,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,1,3,True,"rty library/framework 2. Adding a new product feature that integrates with existing libraries (use `CompositePlugin`) ### Creating a New Plugin ```bash mkdir -p packages/datadog-plugin-<name>/{src,test} cp packages/datadog-plugin-kafkajs/src/index.js packages/datadog-plugin-<name>/src/ ``` Edit `src",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,template,high,canonical_placeholder_path,"Placeholder, glob, or example-path token — not a concrete repo claim.",deterministic_high,template,E,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,path,test/index.spec.js,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,1,2,True,"LUGINS` env var:** ```bash PLUGINS=""amqplib"" yarn test:plugins PLUGINS=""amqplib|bluebird"" yarn test:plugins # pipe-delimited for multiple ./node_modules/.bin/mocha -r ""packages/dd-trace/test/setup/mocha.js"" packages/datadog-plugin-amqplib/test/index.spec.js ``` **With external services** (check `.gi",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,high,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_high,confirmed_false,A,True,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,path,path/to/test.spec.js,4b40f00f7860d074ad4346a17b164b5c57e409a4,add,54,1,2,True,"ation:debugger`) ### Running Individual Tests **IMPORTANT**: Never run `yarn test` directly. Use `mocha` or `tap` directly on test files. **Mocha unit tests:** ```bash ./node_modules/.bin/mocha -r ""packages/dd-trace/test/setup/mocha.js"" path/to/test.spec.js ``` **Tap unit tests:** ```bash ./node_mod",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,template,high,canonical_placeholder_path,"Placeholder, glob, or example-path token — not a concrete repo claim.",deterministic_high,template,E,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,AGENTS.md,directory,packages/*/src/,7d087f9795b4ed663926f2d6803666187a877b2b,modify,1,1,1,True,"scripts**: `npm run <script>` (lint, tests, build, etc.) - **Never run root `npm test`**: it is intentionally disabled. Run a specific `*.spec.js` file, or a targeted `npm run test:<area>`. - **Production package code is hot-path code** (`packages/*/src/`): - Do not introduce `async/await` or Promis",genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,template,high,glob_wildcard_reference,"Placeholder, glob, or example-path token — not a concrete repo claim.",deterministic_high,template,E,False,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,path,src/config.js,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,2,2,True,This is a monorepo using yarn workspaces with the following main packages: - **`packages/dd-trace`**: Core tracer implementation. Entry point for the library. - `src/tracer.js`: Main DatadogTracer class extending OpenTracing Tracer - `src/config.js`: Configuration management with 64k+ lines of optio,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,
045697c18e22b2e6,https://github.com/datadog/dd-trace-js,CLAUDE.md,path,src/plugins/index.js,c2a795393f603fd5fe47dfe07154b48dfb8bd9e8,add,1,1,1,True,: - **`packages/dd-trace`**: Core tracer implementation. Entry point for the library. - `src/tracer.js`: Main DatadogTracer class extending OpenTracing Tracer - `src/config.js`: Configuration management with 64k+ lines of options - `src/plugins/index.js`: Central registry of all instrumentation plug,genuine_false_claim,llm_agreement,genuine_false_claim,genuine_false_claim,confirmed_false,medium,structured_path_always_missing,Structured in-tree path claim persistently absent across observations.,deterministic_medium,confirmed_false,A,True,,,,,,,
