neutral_id,case_id_internal,pinned_commit_sha,repo_id,repo_name_internal,repository_type,primary_ecosystem,instruction_path_internal,referenced_artifact_r1_internal,r1_reference_type,task_oracle_source,task_oracle_text,task_oracle_independent_of_instruction,task_oracle_predates_or_independent,has_independent_task_oracle,independent_task_oracle_artifact_on_disk,candidate_task_availability_flag,candidate_task_availability_reason,candidate_issue_availability_flag,candidate_issue_availability_reason,candidate_flags_are_independent_oracles,is_genuine_software_engineering_task,circularity_class,r1_exists_in_pinned_snapshot,r1_content_safely_presentable,substitutability_context_sufficient,sufficient_repository_context_presentable,repository_identity_anonymizable,reidentification_risk,experimental_selection_pool,protocol_condition_pool,confirmed_false,eligibility_verdict,eligible_boolean,exclusion_reason
8222c534ec20c9c2,81ec58cfed88dd3c,2196dc5d7ebaf8ea667b9a8579df406f95b5c0b9,80c1e78b3cbb6701,copilotkit,software_repository,javascript_typescript,skills/copilotkit-debug/SKILL.md,.codex/config.toml,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,issue_tracker_or_defect_language_in_spec,false,false,circular,uncertain,uncertain,uncertain,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
edc493748044c205,fd797306713f1063,3f7b8a9c528829276413fda6d3a7bc1cea17e53b,3f33ab9828ac52ad,wp-calypso,software_repository,javascript_typescript,packages/grid/AGENTS.md,@automattic/grid,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_test_config_reference,True,stale_verifiable_references_present,false,false,circular,uncertain,false,false,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
b6f1d2c6e3328de2,0b8f82bdba65b9df,107bba0116399d5ec0f0d529bb23c93b684790d1,97dcab4759c83fdb,dify,software_repository,javascript_typescript,cli/AGENTS.md,/guide.ts,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,test_command_in_spec+verified_test_config_reference,True,issue_tracker_or_defect_language_in_spec,false,false,circular,uncertain,uncertain,uncertain,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
ac63aa4470fd018b,48713c8f66938235,3c65d86c23951666da5125639f57b28a9305c293,c80f9fe166839d30,affiliate-skills,content_skill_pack,content_skill_markdown,skills/distribution/social-media-scheduler/SKILL.md,2/,directory,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,stale_verifiable_references_present,false,false,circular,uncertain,false,false,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
3700df2d7790d1ff,a079ede0bb4a5057,52a4bea88f45a30bc8c5a9fa3c031cb00a57be5a,97dcab4759c83fdb,dify,software_repository,javascript_typescript,e2e/AGENTS.md,.logs/cucumber-api.log,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,issue_tracker_or_defect_language_in_spec,false,false,circular,uncertain,uncertain,uncertain,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
8819745939ade378,c8bf5e86f4da43fe,6b3b8c9b9eb4bfde4aa41fe891b529c034b605b6,fe39aea7a61c32c2,stratus-red-team,software_repository,go,AGENTS.md,cd v2/,directory,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,test_command_in_spec,True,stale_verifiable_references_present,false,false,circular,uncertain,false,false,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
85571219ad372807,0619ec6dc64594a4,33ada30b4055c3e8dc169fc8c3668df500858dad,c80f9fe166839d30,affiliate-skills,content_skill_pack,content_skill_markdown,skills/research/commission-calculator/SKILL.md,references/list-affitor-api.md,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,stale_verifiable_references_present,false,false,circular,uncertain,uncertain,uncertain,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
5cdb19823812fea3,1120ebc81b7dd5ac,f1f128fe6dd8a67d0d669064b92186808053d534,3f33ab9828ac52ad,wp-calypso,software_repository,javascript_typescript,apps/blaze-dashboard/AGENTS.md,/etc/hosts,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,stale_verifiable_references_present,false,false,circular,uncertain,false,false,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
b8695a2837b8211e,df1d67a0efae41bb,03248fcf005471ba338f5d55dd2c4c87c0df807b,0d8bce7e29a5cd98,vscode,software_repository,javascript_typescript,.github/instructions/tree-widgets.instructions.md,src/vs/platform/list/browser/test/listService.test.ts,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_source_path_reference+verified_test_path_reference,True,stale_verifiable_references_present,false,false,circular,uncertain,uncertain,uncertain,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
a38973860e5d4712,a12191f3c3583467,d570a73facd1cfee2b32b9fda175abff0af13ca6,ab3194c6a08d7bdc,provenance,software_repository,swift,CLAUDE.md,/Applications/Xcode_16.2.app,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,test_command_in_spec,True,stale_verifiable_references_present,false,false,circular,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
018779556d23bf3f,8b957d58a9279ced,c4072f9de01c62dd9463efc113a4e8eb9e1f473c,3f33ab9828ac52ad,wp-calypso,software_repository,javascript_typescript,apps/help-center/AGENTS.md,@automattic/help-center,path,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_reference_anchors_only,True,stale_verifiable_references_present,false,false,circular,uncertain,false,false,uncertain,false,unresolved_critical,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
8a7005d04252096c,7d6a0c3bd6671eae,37ae2dab819870ccaec51b4f7fbb2d10f901de32,f9322113d8450527,potatovn,uncertain,unknown,AGENTS.md,.cursor/rules/,directory,generic_instruction_coupled_prompt,Complete the bounded coding task described in the project instruction file. Treat the instruction file as authoritative project context. Use only the repository state at the pinned commit. Run tests before finishing.,false,false,false,false,True,verified_source_path_reference,True,stale_verifiable_references_present,false,false,circular,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,born_stale_confirmed_false_with_truthful_pair,B_observed_integrity_loss,True,ineligible,false,no_independent_task_oracle
