neutral_id,case_id_internal,circularity_class,task_oracle_source,has_independent_task_oracle,circularity_evidence
8222c534ec20c9c2,81ec58cfed88dd3c,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
edc493748044c205,fd797306713f1063,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
b6f1d2c6e3328de2,0b8f82bdba65b9df,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
ac63aa4470fd018b,48713c8f66938235,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
3700df2d7790d1ff,a079ede0bb4a5057,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
8819745939ade378,c8bf5e86f4da43fe,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
85571219ad372807,0619ec6dc64594a4,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
5cdb19823812fea3,1120ebc81b7dd5ac,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
b8695a2837b8211e,df1d67a0efae41bb,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
a38973860e5d4712,a12191f3c3583467,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
018779556d23bf3f,8b957d58a9279ced,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
8a7005d04252096c,7d6a0c3bd6671eae,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
91a44ede937683ce,56a049e637c03d12,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
1e39c3352c8e8e69,b960a56c7f7ce193,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
67c2974c57527180,6b491923834940ac,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
4b9a3c6654895937,e9970880815f2fa0,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
477af6ec413b58de,20b1d5d3fa254186,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
930e6bd912075b0c,ab5fba80808af351,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
be858faa4705fb53,9702d7b52617de19,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
091eb6d22fc90585,a10a8c56c2e04308,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
1376723b75f6cc11,64877a6152749c82,circular,generic_instruction_coupled_prompt,false,Task definition is the generic instruction-coupled prompt and/or would disappear if the treated instruction were removed; no independent issue/PR/test/benchmark oracle. oracle_source=generic_instruction_coupled_prompt; note=Manifest task_prompt is DEFAULT_TASK_PROMPT coupled to the project instruction file; not an issue/PR/failing-test/benchmark oracle.
